Date,Source,Site ID,POC,DailyMax,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
02/12/2020,AQS,080013001,1,57.8,ppb,54,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/13/2020,AQS,080013001,1,48,ppb,45,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/20/2020,AQS,080013001,1,49.8,ppb,46,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/21/2020,AQS,080013001,1,55.3,ppb,52,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/22/2020,AQS,080013001,1,45.6,ppb,42,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/23/2020,AQS,080013001,1,42.2,ppb,40,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/24/2020,AQS,080013001,1,42,ppb,40,Welby,22,92.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/25/2020,AQS,080013001,1,8.7,ppb,8,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/26/2020,AQS,080013001,1,44.1,ppb,42,Welby,18,75.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/27/2020,AQS,080013001,1,44.3,ppb,42,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/28/2020,AQS,080013001,1,49.6,ppb,46,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
02/29/2020,AQS,080013001,1,46.3,ppb,43,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/01/2020,AQS,080013001,1,38.4,ppb,36,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/02/2020,AQS,080013001,1,20.8,ppb,19,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/03/2020,AQS,080013001,1,42,ppb,40,Welby,22,92.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/04/2020,AQS,080013001,1,42.2,ppb,40,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/05/2020,AQS,080013001,1,35.3,ppb,33,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/06/2020,AQS,080013001,1,42.6,ppb,40,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/07/2020,AQS,080013001,1,41.8,ppb,39,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/08/2020,AQS,080013001,1,32.4,ppb,30,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/09/2020,AQS,080013001,1,28.2,ppb,26,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/10/2020,AQS,080013001,1,41.1,ppb,39,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/11/2020,AQS,080013001,1,44.8,ppb,42,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/12/2020,AQS,080013001,1,28.9,ppb,26,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/13/2020,AQS,080013001,1,15.3,ppb,14,Welby,22,92.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/14/2020,AQS,080013001,1,8.8,ppb,8,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/15/2020,AQS,080013001,1,28.6,ppb,26,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/16/2020,AQS,080013001,1,35.9,ppb,33,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/17/2020,AQS,080013001,1,23.6,ppb,22,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/18/2020,AQS,080013001,1,38,ppb,36,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/19/2020,AQS,080013001,1,7.6,ppb,7,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/20/2020,AQS,080013001,1,15.4,ppb,14,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/21/2020,AQS,080013001,1,45.2,ppb,42,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/22/2020,AQS,080013001,1,38.4,ppb,36,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/23/2020,AQS,080013001,1,45.4,ppb,42,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/24/2020,AQS,080013001,1,36.6,ppb,34,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/25/2020,AQS,080013001,1,45.8,ppb,42,Welby,19,79.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/26/2020,AQS,080013001,1,31,ppb,29,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/27/2020,AQS,080013001,1,12.9,ppb,11,Welby,22,92.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/28/2020,AQS,080013001,1,17.6,ppb,16,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/29/2020,AQS,080013001,1,38.4,ppb,36,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/30/2020,AQS,080013001,1,31.6,ppb,29,Welby,21,88.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
03/31/2020,AQS,080013001,1,35.1,ppb,33,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
